Pathway_Name	gene_count	p_value	Sample	Orientation
AHR	55	0.70472212	Heavy	Down
AP-1	NA	NA	Control	Down
AR	27	0.464379822	Heavy	Down
ATF1	11	0.902141669	Heavy	Down
ATF3	NA	NA	Control	Down
ATF4	NA	NA	Control	Down
ATF6	NA	NA	Control	Down
BACH1	8	0.07776392	Control	Down
BACH1	13	0.298735103	Heavy	Down
CEBPA	9	0.023299107	Control	Down
CEBPA	13	0.220499178	Heavy	Down
CEBPB	13	0.190215256	Heavy	Down
CEBPG	18	0.428824093	Heavy	Down
CREB	65	0.12211099	Heavy	Down
ELK1	27	0.950920553	Heavy	Down
ETS1	25	0.320127935	Heavy	Down
ETV4	NA	NA	Control	Down
FOXO1	11	0.023772293	Control	Down
FOXO1	13	0.614378704	Heavy	Down
FOXO4	6	0.146534933	Control	Down
FOXO4	10	0.37653732	Heavy	Down
HIF-1	30	0.67566463	Heavy	Down
HNF-3alpha	10	0.123519616	Control	Down
HNF-3alpha	17	0.451552168	Heavy	Down
HNF1A	44	0.949139303	Heavy	Down
HSF1	9	0.0621787	Control	Down
HSF1	12	0.568654403	Heavy	Down
IRF1	34	0.136379735	Heavy	Down
IRF2	27	0.014628137	Heavy	Down
IRF7	29	0.051269734	Heavy	Down
IRF8	9	0.051546523	Control	Down
IRF8	16	0.133870052	Heavy	Down
LEF1	10	0.281334765	Control	Down
LEF1	28	0.037867297	Heavy	Down
Lhx3a	NA	NA	Control	Down
LXR-alpha RXR-alpha	14	0.704817508	Heavy	Down
MITF	22	0.000816	Heavy	Down
MTF1	26	0.066441764	Heavy	Down
MYC	7	0.260128343	Control	Down
MYC	17	0.136188696	Heavy	Down
NF-kappaB	32	0.019095132	Heavy	Down
NR2F1	22	0.304946643	Control	Down
NR2F1	52	0.280153476	Heavy	Down
NR2F2	9	0.874870755	Heavy	Down
NR3C1	9	0.247855384	Heavy	Down
NRF-2	18	0.163252664	Heavy	Down
NRF1	22	0.995475461	Heavy	Down
OAZ	17	0.081045205	Heavy	Down
p50	18	0.019557919	Heavy	Down
p65	14	0.074021731	Heavy	Down
POU1F1	NA	NA	Control	Down
POU2F1	32	0.121344122	Control	Down
POU2F1	68	0.321224813	Heavy	Down
PPARA	54	0.052530797	Heavy	Down
PPARG	19	0.338157708	Heavy	Down
REL	13	0.2905459	Heavy	Down
RELA	10	0.406462198	Heavy	Down
RFX1	23	0.469751527	Heavy	Down
SMAD1	16	0.025459124	Control	Down
SMAD1	29	0.121746931	Heavy	Down
SMAD3	NA	NA	Control	Down
SMAD4	21	0.04240071	Heavy	Down
SOX10	17	0.011336523	Heavy	Down
SOX9	7	0.271791185	Control	Down
SOX9	20	0.083871849	Heavy	Down
SP1	19	0.256401484	Control	Down
SP1	41	0.430191142	Heavy	Down
SRF	36	0.679887603	Heavy	Down
STAT1	18	0.149120679	Heavy	Down
USF	26	0.029024524	Heavy	Down
USF1	26	0.0028981	Heavy	Down
VDR	10	0.260341096	Control	Down
VDR	18	0.653719712	Heavy	Down
YY1	29	0.978622694	Heavy	Down
ZIC1	20	0.027310857	Heavy	Down
AHR	58	0.394419979	Heavy	Up
AP-1	35	0.065231101	Heavy	Up
AR	29	0.233762765	Heavy	Up
ATF1	23	0.02166975	Heavy	Up
ATF3	17	0.284948267	Heavy	Up
ATF4	26	0.10563072	Heavy	Up
ATF6	26	0.156860788	Heavy	Up
BACH1	11	0.476840546	Heavy	Up
CEBPA	18	0.009488021	Heavy	Up
CEBPB	12	0.054888327	Control	Up
CEBPB	29	0.091929244	Heavy	Up
CEBPG	15	0.66174002	Heavy	Up
CREB	60	0.214170579	Heavy	Up
ELK1	17	0.041236991	Control	Up
ELK1	24	0.97751393	Heavy	Up
ETS1	24	0.322663235	Heavy	Up
ETV4	15	0.002692099	Control	Up
ETV4	17	0.84879245	Heavy	Up
FOXO1	17	0.16550091	Heavy	Up
FOXO4	8	0.602311556	Heavy	Up
HIF-1	16	0.034542446	Control	Up
HIF-1	35	0.227829789	Heavy	Up
HNF-3alpha	21	0.097723089	Heavy	Up
HNF1A	63	0.05181849	Heavy	Up
HSF1	8	0.034763961	Control	Up
HSF1	10	0.241168267	Heavy	Up
IRF1	30	0.28805901	Heavy	Up
IRF2	21	0.158409928	Heavy	Up
IRF7	23	0.293125737	Heavy	Up
IRF8	12	0.457686496	Heavy	Up
LEF1	19	0.522798129	Heavy	Up
Lhx3a	35	0.034986421	Heavy	Up
LXR-alpha RXR-alpha	17	0.333181029	Heavy	Up
MITF	21	0.001125067	Heavy	Up
MTF1	25	0.069027493	Heavy	Up
MYC	17	0.103977305	Heavy	Up
NF-kappaB	17	0.846942209	Heavy	Up
NR2F1	50	0.277798937	Heavy	Up
NR2F2	17	0.086906118	Heavy	Up
NR3C1	11	0.066393375	Heavy	Up
NRF-2	10	0.010705008	Control	Up
NRF-2	6	0.993147821	Heavy	Up
NRF1	17	0.038345676	Control	Up
NRF1	32	0.648186406	Heavy	Up
OAZ	15	0.158266613	Heavy	Up
p50	11	0.431400523	Heavy	Up
p65	9	0.510555705	Heavy	Up
POU1F1	50	0.123748936	Heavy	Up
POU2F1	64	0.390386337	Heavy	Up
PPARA	35	0.892667429	Heavy	Up
PPARG	13	0.834260638	Heavy	Up
REL	12	0.347056223	Heavy	Up
RELA	11	0.242352393	Heavy	Up
RFX1	30	0.037371736	Heavy	Up
SMAD1	19	0.791452252	Heavy	Up
SMAD3	9	0.638370811	Heavy	Up
SMAD4	12	0.696737025	Heavy	Up
SOX10	7	0.782876993	Heavy	Up
SOX9	14	0.353380996	Heavy	Up
SP1	35	0.724920969	Heavy	Up
SRF	47	0.04320224	Heavy	Up
STAT1	11	0.230351012	Heavy	Up
USF	23	0.079258678	Heavy	Up
USF1	15	0.41761893	Heavy	Up
VDR	20	0.39060707	Heavy	Up
YY1	36	0.679758978	Heavy	Up
ZIC1	10	0.768231906	Heavy	Up
