	DPV0_47	DPV0_48	DPV0_49	DPV0_50	DPV3_47	DPV3_48	DPV3_49	DPV3_50	DPI3_47	DPI3_48	DPI3_49	DPI3_50	DPI6_47	DPI6_48	DPI6_49	DPI6_50	DPI9_47	DPI9_48	DPI9_49	DPI9_50	DPI14_48	DPI14_49	DPI14_50	DPI21_48	DPI21_49	DPI21_50	DPI42_48	DPI42_49	DPI42_50
X4.Mar	0	0	0	0	0	0	0	0	0	0	4	1	6	0	2	0	21	0	4	1	1	4	3	0	0	0	0	2	0
X9.Mar	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0
X5.Sep	0	0	0	0	3	1	0	1	0	0	3	1	0	0	0	0	0	2	4	5	6	7	2	0	0	1	1	1	2
X1.Dec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
AADACL3	51	40	193	119	95	77	317	173	286	210	172	147	1193	133	817	249	2100	40	543	121	55	368	84	48	76	38	42	61	122
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
AAR2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	2	0	0	1	0	2	0	1	0	0	0	0	0
AARD	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	0	0	0	0	1	6	2	3	1	3	0	1	0	2	0	12	2	4	4	0	2	0	0	4	1	1	1	0
ABCA9	0	0	2	0	1	0	0	2	2	7	0	3	12	5	11	4	29	0	9	1	0	0	1	1	1	0	0	0	0
ABCC2	0	0	0	1	1	0	0	0	0	0	0	0	12	0	6	2	15	0	2	1	1	1	1	0	4	1	0	1	0
ABCC9	0	0	0	2	0	0	0	1	0	1	0	0	6	2	7	4	7	1	1	1	0	1	0	1	0	1	0	0	1
ABCD2	0	0	0	0	1	0	0	0	1	0	0	0	5	0	1	0	6	0	0	0	0	0	0	0	0	1	2	0	0
ABHD13	0	0	0	0	0	0	0	0	3	1	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ABLIM3	1	0	2	0	1	0	2	1	3	3	0	0	4	2	6	2	22	2	4	1	1	1	1	0	0	0	0	0	0
AC004922.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC010255.3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
