hgnc_symbol	PL2_EBOV_1h	PL7_EBOV_72h	PL8_EBOV_72h	PL9_MAVKO_EBOV_1h	PL10_MAVKO_EBOV_1h	PL15_MAVKO_EBOV_72h	PL16_MAVKO_EBOV_72h	PL17_VP35_1h	PL18_VP35_1h	PL23_VP35_72h	PL24_VP35_72h	PL25_MAVKO_VP35_1h	PL26_MAVKO_VP35_1h	PL31_MAVKO_VP35_72h	PL32_MAVKO_VP35_72h
IFIT2	0	0.138076346	0.465988125	0	0	0	0.121502239	0	0	87.4574766	65.68938377	0	0	0.112394322	0.143680111
MX1	0	0.262883517	0.720845663	0.066799697	0	0	0	0	0	32.90045131	28.4302299	0	0.115063695	0	0.068388131
IFI6	0.553881834	2.618502173	1.104634278	0.665371322	1.165778551	0.708977076	1.152094064	0	0	127.6997148	125.785177	0.622454263	2.292228432	0.532866027	0
IFIH1	0.31743007	0.125055454	0.7385778	0.127108258	0	0.135438421	0	0	0	23.80710257	21.58772264	0.118909659	0	0	0
XAF1	0	0	0.072222876	0	0	0	0	0	0	12.87591401	9.763310388	0	0	0	0
OAS2	0	0	0.30507939	0	0	0	0	0	0	11.36658425	10.86771095	0	0	0	0
TXNIP	0	1.874486383	1.317942966	0	0.139089441	0	0.13745674	0	0	10.6467714	9.630463854	0	0	0	0
SMTNL1	1.162177772	1.716952987	2.028065662	0.698054813	0.305760596	6.32232135	6.043428533	0.859938209	0	308.7014903	348.9631769	1.306059279	1.503015156	7.267529985	3.573269474
CMPK2	0	0	0	0	0	0.142553503	0.115825356	0	0	8.197914984	8.114930607	0	0	0.107142983	0
IFI44	0	0	0	0.564814714	0.24739903	0.601830393	0.244494937	0	0	13.38682616	13.41830454	0	0.486451814	1.130836882	1.445613681
IFNL3	0	0	0.619655415	0	0	0	0	0	0	34.52260506	29.43162186	0	0	0	0
IFITM1	0	0.524306569	0.884730232	0	0	0	0	0	0	23.41303896	19.93342538	0	0	0.853572432	0
FCGR1A	0.31961827	0.188876283	0.31871536	0.191976716	0	0	0	0	0	7.990405487	7.374896575	0	0.165341694	0.153745535	0.19654174
S100P	0.374302958	2.21191834	6.345174634	0	0.787811286	3.353793904	2.335690699	0	0	19.75475162	13.18232438	0	0.387261249	5.041412176	2.301688032
BST2	0	0	0.426947565	0	0	0.548047516	0	0	0	19.62374085	15.59894168	0	0	0.411911629	0.526570274
MRPL23-AS1	0.766163837	14.48830094	14.77065611	0	0.268762912	14.71051849	15.67087434	0	0	9.222283329	9.924785066	0.574011661	0.264229423	16.95314969	15.39039162
IFNL2	0	0	0.648241961	0.780931063	0	0	0	0	0	11.73745151	27.63150388	0	0	0	0
STAC3	0.457163918	0.810473895	0.227936224	0.823777948	0.721659194	4.681413519	6.418691998	0	0	7.301876855	6.107104742	1.02752469	0.236495419	7.256994627	6.465810655
TRIM21	0.745113198	0.587092893	1.486016564	0.596730112	0.78413565	1.271674797	0.258310359	0	0	6.20923682	8.143957575	1.953841661	0.256969621	2.150524634	1.221839577
C2-AS1	0.628750376	1.486223346	5.015793442	0.755309965	0.661678771	0.804809936	2.615646627	0	0	12.22562333	15.27140484	0	0	1.814681548	1.54654104
HLA-B	0	0	0.158616974	0	0	0.610821883	0	0	0.19268679	22.9761003	17.1924989	0	0.329146347	0.459092742	0
IFIT1	0.727022438	1.84126738	2.071338935	0.623830689	1.530194911	1.861199305	0.864132985	0.307400413	0.125812402	51.35284276	39.85727417	0.350155823	0.967103747	1.498793995	1.021863666
HHIPL2	0.43700923	1.549486122	4.357746963	0.874956208	1.073090472	1.305216235	2.575485437	0	0	2.832449065	2.653574906	1.309633172	1.657840798	3.923993667	2.328980776
IFIT3	1.270361555	2.788357665	3.076448307	0	0	1.393784479	1.132456097	0.179045215	0.21983811	41.33689653	29.75320864	0.407896165	0.375526059	1.920537972	0
HIST1H3E	0.357676586	4.650064983	5.349992445	0.42967241	0.94102132	5.493976895	3.905895608	0	0.216637779	16.14502009	15.85455703	1.20587444	0.925148187	6.71005428	6.158454578
OASL	0	0.161004008	0.135841435	0	0	0	0.14167776	0	0.165019224	11.35211622	11.41512545	0	0	0.131057468	0
OAS1	0.290544443	1.831416519	2.70408755	1.04708222	0.713441391	0.991736682	1.81302856	0	0.469272376	26.09502794	20.8178235	0.979544459	1.002010104	2.236163072	2.620397614
HIST1H2BD	1.650199034	3.900696406	4.388099429	1.321575645	2.894369823	2.816372771	4.004551983	0	0	6.875785204	4.676100656	1.854499211	0.569109528	6.879539004	4.059004383
STAT2	0.392132744	0.741530326	1.016664958	0.282638497	0.165067678	0.702710132	0.897215176	0	0.095002883	3.81237722	5.238374341	0.440680093	0.405708298	0.905409946	0.67517187
CETP	0	0	0.229138765	0	0	0	0.238983541	0	0.278356168	14.36165207	11.72052855	0.258236421	0.237743117	0	0
RN7SL262P	1.629618321	7.70409653	8.12507356	1.957640113	1.714963344	14.60155169	15.25349028	0	0	13.58006556	15.83239522	3.662741073	3.372070738	7.838930497	4.008381879
