#<CMP> CMPset1:d3-d0,d6-d0,d9-d0,d10-d0
FileName	SampleName	Factor	SampleLong	Experiment	Date
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141132_d0.read1_trimmed.fq.gz	VP35.HDBC.141132.d0	bd0	VP35.HDBC.141132.d0	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141132_d3.read1_trimmed.fq.gz	VP35.HDBC.141132.d3	bd3	VP35.HDBC.141132.d3	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141132_d6.read1_trimmed.fq.gz	VP35.HDBC.141132.d6	bd6	VP35.HDBC.141132.d6	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141132_d9.read1_trimmed.fq.gz	VP35.HDBC.141132.d9	bd9	VP35.HDBC.141132.d9	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141389_d0.read1_trimmed.fq.gz	VP35.HDBC.141389.d0	bd0	VP35.HDBC.141389.d0	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141389_d10.read1_trimmed.fq.gz	VP35.HDBC.141389.d10	bd10	VP35.HDBC.141389.d10	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141389_d3.read1_trimmed.fq.gz	VP35.HDBC.141389.d3	bd3	VP35.HDBC.141389.d3	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141389_d6.read1_trimmed.fq.gz	VP35.HDBC.141389.d6	bd6	VP35.HDBC.141389.d6	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141409_d0.read1_trimmed.fq.gz	VP35.HDBC.141409.d0	bd0	VP35.HDBC.141409.d0	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141409_d10.read1_trimmed.fq.gz	VP35.HDBC.141409.d10	bd10	VP35.HDBC.141409.d10	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141409_d3.read1_trimmed.fq.gz	VP35.HDBC.141409.d3	bd3	VP35.HDBC.141409.d3	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/backchallenge/data/trimmed_60/VP35_Backchallenege_PBMC_141409_d6.read1_trimmed.fq.gz	VP35.HDBC.141409.d6	bd6	VP35.HDBC.141409.d6	2	07-03-2018
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141132_d0.read1_trimmed.fq.gz	VP35.HD.141132.d0	cd0	VP35.HD.141132.d0	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141132_d10.read1_trimmed.fq.gz	VP35.HD.141132.d10	cd10	VP35.HD.141132.d10	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141132_d3.read1_trimmed.fq.gz	VP35.HD.141132.d3	cd3	VP35.HD.141132.d3	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141132_d6.read1_trimmed.fq.gz	VP35.HD.141132.d6	cd6	VP35.HD.141132.d6	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141389_d0.read1_trimmed.fq.gz	VP35.HD.141389.d0	cd0	VP35.HD.141389.d0	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141389_d10.read1_trimmed.fq.gz	VP35.HD.141389.d10	cd10	VP35.HD.141389.d10	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141389_d3_2.read1_trimmed.fq.gz	VP35.HD.141389.d3	cd3	VP35.HD.141389.d3	2	06-25-18
/bigdata/messaoudilab/arivera/EBOV/U19/VP35/PFU_1000/PBMC/challenge/data/trimmed_reseq_combined/VP35_challenege_PBMC_141389_d6.read1_trimmed.fq.gz	VP35.HD.141389.d6	cd6	VP35.HD.141389.d6	2	06-25-18
