VP35.HDBC.141132.d0	VP35.HDBC.141132.d3	VP35.HDBC.141132.d6	VP35.HDBC.141132.d9	VP35.HDBC.141389.d0	VP35.HDBC.141389.d10	VP35.HDBC.141389.d3	VP35.HDBC.141389.d6	VP35.HDBC.141409.d0	VP35.HDBC.141409.d10	VP35.HDBC.141409.d3	VP35.HDBC.141409.d6	VP35.HD.141132.d0	VP35.HD.141132.d10	VP35.HD.141132.d3	VP35.HD.141132.d6	VP35.HD.141389.d0	VP35.HD.141389.d10	VP35.HD.141389.d3	VP35.HD.141389.d6	VP35.HD.141409.d0	VP35.HD.141409.d10	VP35.HD.141409.d3	VP35.HD.141409.d6
ENSMMUG00000000001	12	4	8	0	5	2	3	6	3	1	6	3	2	2	3	6	2	1	3	3	0	0	1	0
ENSMMUG00000000002	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ENSMMUG00000000004	13	3	14	1	10	11	14	6	16	3	5	1	0	0	4	4	1	1	1	3	1	4	2	3
ENSMMUG00000000005	11	3	1	0	0	2	2	2	2	2	1	1	3	0	6	1	0	0	1	2	1	1	5	1
ENSMMUG00000000006	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ENSMMUG00000000007	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMMUG00000000009	4	1	1	2	0	1	2	5	0	2	6	0	69	9	56	3	263	1	32	30	11	3	426	6
ENSMMUG00000000010	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ENSMMUG00000000012	1	0	0	0	1	0	0	0	1	0	1	0	1	1	7	2	12	1	0	4	0	1	5	0
ENSMMUG00000000013	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	7	0
ENSMMUG00000000014	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000015	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0
ENSMMUG00000000016	0	2	0	2	1	2	1	0	0	0	0	0	0	0	0	0	5	0	1	4	1	1	6	0
