GENE_ID	WT_FC	BC_FC
1-Mar	1.982401878	-5.264363909
ADAM17	1.564178791	-6.364921985
ADAMTSL4	1.533221957	-2.022034297
AKAP17A	-1.077354634	-6.819518116
ANKFY1	2.002024886	-7.59914625
APMAP	2.500687082	-3.776409781
CAPN3	1.444670201	-3.414622935
CD14	2.506998486	-3.477400307
CDC42EP3	1.995993886	-5.557961628
CHMP2A	1.487539364	-5.73836966
CHMP5	2.100667953	-1.871294362
CISH	2.372270775	-5.502437035
CLIC5	-2.982518689	-5.73429386
CTSA	1.104040527	-4.894591822
CTSB	1.441300744	-5.076342528
CUL1	1.089325983	3.574058021
DBP	-2.124715218	-6.273930075
DDIT3	2.339637233	-2.982416256
DDX58	4.055718793	-5.599218477
DTX3L	2.681745355	-5.417064724
EMILIN2	1.265199375	-3.655617861
GAPDH	1.284067818	-6.8036982
GTPBP1	1.186060952	-5.710104095
H6PD	1.080811593	-4.112701219
HMOX1	4.252791129	-5.910717549
ICAM3	1.04632822	-5.330020951
IFIT1	6.612309332	-6.047062691
IFNGR2	2.125920163	-4.990343237
IL18BP	1.207691205	-3.473133769
LDHA	2.045267636	-3.923734752
LIMK2	3.822820476	-2.569010507
MVP	1.660365728	-5.579514161
NAIP	2.202784892	-2.422351007
NEK6	1.441480425	-5.054874915
PDE4D	-1.373137076	3.317938818
PDE7A	-1.249273641	-5.502902168
PSMB8	1.253097054	-3.106476899
RNF213	2.781476347	-6.167960845
SLAMF6	-1.325608427	-5.31514478
SLC16A3	2.207406707	-5.635495072
SOD1	1.006243199	-7.140820589
TANC1	-1.718838097	-6.331875152
TAP1	2.054748742	-3.456873108
TBC1D8	2.480563872	-5.155683849
TMEM165	1.37114943	-4.904241248
TYMP	3.009033163	-5.524158135
VAT1	1.749148493	-6.431683739
XBP1	1.259934074	-5.722069345
ZC3H12A	1.557303485	-7.388321293
