RhesusEnsembl	d3.d0_logFC	GENE_ID	HUMAN_ID	d3.d0_logCPM	d3.d0_LR	d3.d0_PValue	d3.d0_FDR	entrezgene	ENTREZ_ID	description	X912P0	X1007P0	X1005P0	X903P0	X906P0	X806P0	X440P0	X448P0	X465P0	X493P0	X912P1	X1007P1	X1005P1	X465P1	X493P1	X912P2	X1007P2	X465P2	X493P2	X903P3	X906P3	X806P3	X1005P4	X806P4	X440P5	X448P5	X903P6	X906P6	X440P7	X448P7	rowmeans
ENSMMUG00000021389	-2.257692605	PDK4	ENSG00000004799	5.594113188	14.87751762	0.000114722	0.038390204	698726	5166	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7FDH5]	33.18715422	10.45658764	21.72450743	13.66951369	8.957339961	12.90662716	7.701162756	37.72466057	14.60946921	12.7627603	66.01313747	41.34581374	7.714633688	15.95177258	16.97813656	118.5224742	49.70315561	9.972225931	3.993375649	3.161464911	1.652425092	5.610253961	9.061660547	18.82905089	31.06572122	30.15961358	48.88488991	17.24463955	23.65251448	22.9322373	23.87163266
ENSMMUG00000012782	3.347649805	OAS1	ENSG00000089127	4.365205869	18.65444185	1.57E-05	0.007800105	712265	4938	"Macaca mulatta 2',5'-oligoadenylate synthetase 1, 40/46kDa (OAS1), mRNA. [Source:RefSeq mRNA;Acc:NM_001083949]"	4.468025218	3.895932397	5.40571035	0	1.254338203	0.984374079	0.685252291	3.60871391	9.080289231	9.04434052	3.8850815	1.45396249	6.589929017	9.987781781	5.736914534	3.467235053	2.292114242	8.802336677	6.275297774	13.33813056	8.892579529	90.74139229	16.54235762	82.55439539	128.8318129	419.5508421	134.5065087	98.43863429	1068.494017	237.3803652	79.53962215
ENSMMUG00000014293	3.471810654	PLA2G4C	ENSG00000105499	3.448872601	17.8805498	2.35E-05	0.010391015	NA	8605	"phospholipase A2, group IVC (cytosolic, calcium-independent) [Source:HGNC Symbol;Acc:HGNC:9037]"	1.413027704	0.726238667	0.052297086	1.58605819	2.396660241	0.601868991	0	2.012640958	1.423563601	3.549609638	0.636275448	0.707148086	7.974526478	1.499427653	2.630761292	1.9337358	0.673774739	1.085070856	2.367294441	4.278984123	4.045482148	35.84646415	15.98262653	57.88493047	5.075434193	39.74951784	25.85218995	14.58679197	29.86522786	9.183871413	9.187383351
ENSMMUG00000012442	1.675649514	DDX58	ENSG00000107201	6.844820366	17.5131366	2.85E-05	0.011055763	704638	23586	"Macaca mulatta DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 (DDX58), mRNA. [Source:RefSeq mRNA;Acc:NM_001042668]"	17.39957644	23.12844836	40.47306009	29.8214853	29.10744645	37.56374056	10.6010454	23.28673839	11.40605927	22.62645821	24.80453732	18.74434007	21.38077218	8.461469416	24.61379901	25.17655058	28.27679869	9.664005336	17.48695766	37.53264388	51.42523894	139.0104402	111.6609904	135.205669	171.0884775	331.8181767	222.0397881	282.0833014	513.099624	254.0591156	89.10155848
ENSMMUG00000014755	1.833252119	DHX58	ENSG00000108771	5.523735763	18.03933025	2.16E-05	0.009956551	709116	79132	Putative ATP-dependent RNA helicase DHX58; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7G3U0]	21.9748815	22.83391344	20.68623187	11.68943832	13.85544935	5.493938157	9.030057556	9.14802201	11.55064271	11.65309798	15.41630892	17.21317167	6.101516534	11.88969106	6.7594766	19.10418038	18.31423602	14.96705297	11.19425743	28.33700982	29.59685596	84.427975	64.41726076	78.34985094	102.3875786	122.8213858	107.1430894	129.0791691	212.7212732	162.5664589	46.02411574
ENSMMUG00000008505	3.156477822	OAS2	ENSG00000111335	7.341405048	65.76719083	5.07E-16	3.74E-12	712401	4939	"2'-5'-oligoadenylate synthetase 2, 69/71kDa [Source:HGNC Symbol;Acc:HGNC:8087]"	24.78440438	21.49403837	16.11670367	10.40614469	28.92392245	19.99655313	9.593651204	22.16890891	22.62567736	23.08324581	18.99396764	17.1263876	18.99473716	24.38224065	24.69378661	20.7852941	17.32763083	27.90503433	20.00926732	67.4437983	74.43510853	366.6754327	117.2973597	289.6385829	381.9531767	607.0303865	382.4928408	420.6540391	972.5587594	440.4019049	150.3330995
ENSMMUG00000005613	2.114784761	STAT1	ENSG00000115415	9.725762155	45.92801356	1.23E-11	3.01E-08	693650	6772	Signal transducer and activator of transcription  [Source:UniProtKB/TrEMBL;Acc:F6WE02]	104.7337415	112.8706533	114.4382169	75.29261538	131.6410891	141.8929634	133.7534147	98.32701813	149.849333	156.4008296	86.56257998	91.06090669	133.3506415	133.3652563	140.6681044	78.45358929	84.10988584	139.9686769	115.5528304	227.0188525	530.9931746	755.8754023	584.4068975	668.2953271	468.9063826	658.0051437	480.2347381	503.6569138	571.0557685	404.8654805	269.1868809
ENSMMUG00000000662	2.578979001	GBP1	ENSG00000117228	9.162621332	46.96697639	7.22E-12	2.13E-08	694538	2633	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7A8B5]	62.81892069	76.2780506	158.6900629	37.3947731	88.90991398	88.5896052	66.6230023	89.86066763	73.71668489	119.6990186	53.34836203	56.58441753	69.3718497	72.53842704	88.30809239	45.74467056	62.73507472	79.06129883	82.62160284	190.0210886	402.7558914	893.1985251	692.8639398	1218.403382	781.5708236	1247.512658	623.5662213	635.6233465	1940.492568	1096.266987	373.1723309
ENSMMUG00000005001	2.439024306	IFIT3	ENSG00000119917	7.628997915	28.12214686	1.14E-07	0.000104812	695344	3437	interferon-induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	32.97818642	49.05969765	159.1982444	57.88709035	64.76076369	63.3165769	133.7775382	42.27774842	40.0692425	27.0812359	51.73807445	32.13105836	82.49893331	54.86597807	40.72662202	23.18277771	36.79177255	63.22119517	24.48963126	125.7547413	194.5637344	719.0231137	1549.936722	1074.890467	1061.299151	2839.857433	1925.887185	1510.0396	6591.708262	1834.128567	683.5713781
ENSMMUG00000004185	3.150319747	IFIT2	ENSG00000119922	6.98271642	54.45495593	1.59E-13	7.81E-10	695452	3433	Interferon-induced protein with tetratricopeptide repeats 2; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6X2M0]	18.86173651	19.6523394	12.79724023	14.19836919	18.94998372	15.58941959	2.677367289	19.96822555	11.15884117	12.03381092	11.61352555	8.607295715	15.49629213	10.87083924	10.16139867	10.54463388	11.20595648	11.09414247	12.55257302	40.91895347	75.66565168	258.4165073	283.0034677	344.2331622	635.4125788	1349.905237	570.7277702	669.5972154	3925.745842	1247.735978	321.6465452
ENSMMUG00000019304	2.521282056	IDO1	ENSG00000131203	7.359610009	27.26142527	1.78E-07	0.000145376	574370	3620	"Macaca mulatta indoleamine 2,3-dioxygenase 1 (IDO1), mRNA. [Source:RefSeq mRNA;Acc:NM_001077483]"	15.75623508	24.68289559	10.70660906	62.39495392	41.36939814	68.45480154	99.16119913	62.73880018	48.09736437	80.11946655	25.54167894	21.76312354	23.02598309	56.72522681	54.91475656	26.7374877	34.62015198	45.88050641	53.35615806	98.3462096	152.7241477	585.4023691	253.6803957	698.2905508	475.4625333	631.1454331	390.1477088	636.9658609	1607.454808	658.0294595	234.7898758
