RhesusEnsembl	d5.d0_logFC	GENE_ID	HUMAN_ID	d5.d0_logCPM	d5.d0_LR	d5.d0_PValue	d5.d0_FDR	entrezgene	ENTREZ_ID	description	X912P0	X1007P0	X1005P0	X903P0	X906P0	X806P0	X440P0	X448P0	X465P0	X493P0	d0	X912P1	X1007P1	X1005P1	X465P1	X493P1	X912P2	X1007P2	X465P2	X493P2	X903P3	X906P3	X806P3	X1005P4	X806P4	X440P5	X448P5	X903P6	X906P6	X440P7	X448P7	rowmeans
ENSMMUG00000010258	1.38341779	1-Mar	ENSG00000145416	6.08393601	14.03010264	0.000179907	0.011329407	NA	55016	"membrane-associated ring finger (C3HC4) 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:26077]"	48.2890808	29.9234926	64.94943895	27.53782963	56.36232426	45.32843535	49.36749606	61.57274636	59.48567411	68.98865016	52.86491016	72.82417585	56.74233789	84.02056174	79.21384092	79.76329646	77.53282731	67.04736864	61.1579824	55.86891235	53.81229216	57.03021094	75.93886323	109.64821	53.08077331	119.3591244	110.9423661	113.6920307	72.20750744	279.8350205	136.7328956	77.60852554
ENSMMUG00000016004	2.376507679	ACPP	ENSG00000014257	4.582661593	10.81477419	0.001006933	0.046886345	717786	55	"acid phosphatase, prostate [Source:HGNC Symbol;Acc:HGNC:125]"	5.15508777	5.885283613	4.725176144	0	4.911316558	3.6440481	7.561409915	7.776592468	13.75731735	10.44111838	5.520185692	10.73393685	11.19768038	0	12.3161038	9.311803765	12.87536228	11.17129453	16.17137161	12.6003615	3.282377785	6.129677585	10.51612189	2.999686665	9.705251553	27.46743522	29.38358928	16.99802401	41.49098	73.73498365	31.31269372	13.77520288
ENSMMUG00000012177	2.792302448	ACSL1	ENSG00000151726	6.375736946	13.51945346	0.000236103	0.014121735	694871	2180	acyl-CoA synthetase long-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	8.480977881	9.171555066	103.9695546	8.971807542	14.66060189	8.610405624	0.775081209	12.13500966	10.00726461	18.52450857	9.589409838	17.64724102	17.44231072	10.42150977	8.069334543	18.34212671	19.92673391	16.75208643	11.34795498	16.68314339	10.05774028	12.98531507	21.45640824	21.88819439	18.17165634	135.905391	103.0612707	95.52436718	244.5630613	760.1695772	345.8592914	70.05271604
ENSMMUG00000005318	4.265163065	ADAMDEC1	ENSG00000134028	4.788764074	12.23372522	0.000469334	0.024756935	711034	27299	"ADAM-like, decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]"	0	1.107823968	0.049859613	23.89173063	1.827964949	1.147633905	0	0.923883691	0.508955191	0.356228281	0.716419441	0.674021984	5.586138891	4.001498969	0.909708551	0.668838988	1.160790114	5.010496153	0	0.263800411	0.359960145	0.51425726	5.505813377	50.77339713	11.38859356	15.09729708	94.191333	164.4117596	10.17352425	33.32666002	17.51165514	15.04478749
ENSMMUG00000016093	1.539019659	ADAR	ENSG00000160710	9.820753879	23.78765087	1.08E-06	0.000136081	718759	102724045	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7GLF8]	124.2540087	106.9185523	86.91793416	94.36099303	111.0474667	114.0317078	110.1958314	107.8739828	115.3731056	108.7662208	109.4810261	127.5505847	94.25599649	127.9153418	103.5634013	118.4434738	115.1912015	74.15546147	123.3482548	94.01727796	128.3281142	146.446288	249.8296974	203.7969747	279.1441561	216.6591837	332.2759295	243.1718921	281.04731	413.6647632	223.7073213	159.2084142
ENSMMUG00000002217	5.478297253	ALPL	ENSG00000162551	3.886677258	27.21290955	1.82E-07	2.78E-05	717809	249	Alkaline phosphatase  [Source:UniProtKB/TrEMBL;Acc:F6W7W1]	0.308922247	0.381056276	6.722848552	0	1.257523824	0.197374815	0.686992614	0.391122043	0	0.12253122	0.344989262	1.762000455	0.530056397	0	0	0	0.28184114	0.353528536	0	0.685583305	1.155605385	0.778307956	0	2.503301126	0.138055142	36.08462919	47.74564178	15.42641129	79.42605347	972.8234897	261.8497496	47.72042087
ENSMMUG00000019184	1.335345639	ANKFY1	ENSG00000185722	7.301303999	17.20184206	3.36E-05	0.002639943	708297	51479	ankyrin repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20763]	23.64500592	18.36200437	15.28639589	14.80724909	20.5057051	21.22880239	20.75870811	23.16832842	33.30840445	26.9124415	20.99375525	24.09653659	17.88637951	15.21914489	27.9906065	26.52040991	37.56690857	22.07088331	28.11668764	23.18015562	20.43698672	24.75178607	38.499954	25.05423441	34.47528116	41.58180724	53.91157658	34.27162262	64.27373264	122.3108571	41.4517288	31.38834417
ENSMMUG00000021942	-1.35221278	ANKH	ENSG00000154122	6.304553381	11.58542071	0.000664709	0.033340401	717689	56172	Progressive ankylosis protein homolog; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6T3T0]	20.53630848	22.08394327	27.30377673	19.97758157	35.76976502	23.63451268	27.51873823	22.58396456	23.17614309	21.72144353	22.88005383	23.86920473	19.36889322	22.95284421	22.32537723	28.82278016	17.69513977	18.8314206	24.62535428	23.69868094	17.5169891	33.16653221	18.14721758	9.134026657	16.85488553	8.341014693	8.138461667	6.743765712	16.58114449	2.70331329	6.683398704	19.68355406
ENSMMUG00000000470	3.790637969	ANKRD22	ENSG00000152766	3.434152363	12.66552887	0.000372459	0.020636836	694240	118932	ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321]	5.523984324	3.815754262	0	0	1.798910102	1.129392676	0	2.657658296	4.00692425	9.991135575	2.228284199	14.4601285	9.099060774	3.937896578	4.859923466	22.04996909	19.7557584	15.17186497	4.072218691	12.74960779	3.070068803	4.554749927	9.567449442	21.48609958	20.34150348	30.95277283	39.89644908	37.47713492	90.47378381	217.3195609	75.11123501	22.84436652
ENSMMUG00000018029	1.521305371	APLP2	ENSG00000084234	9.833377792	15.81938516	6.97E-05	0.004835658	718819	102725415	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7FJ69]	176.9940176	218.4442991	121.9607671	159.8206526	109.8547091	166.1144575	365.940668	244.0484878	168.0021703	198.5736773	172.498094	268.6866274	289.1216713	250.5652908	217.5390853	283.9141882	378.0834841	241.0421837	242.1290992	250.872621	108.1973062	132.063101	233.0347027	414.9981674	268.7662986	477.3954226	481.3964667	251.9561543	219.522314	730.9853989	637.1506765	276.9058055
ENSMMUG00000004015	1.922214035	APOBEC3G	ENSG00000239713	6.333667478	24.03382874	9.47E-07	0.000120816	574398	60489	DNA dC->dU-editing enzyme APOBEC-3G  [Source:UniProtKB/TrEMBL;Acc:F6XPP0]	26.95519189	33.52869467	22.83649174	9.051361376	29.96717912	25.03710558	13.85259199	40.79536742	34.23047485	24.52763561	25.99614874	22.16747852	28.56641234	16.14757591	34.61248638	30.70135987	21.63012661	19.70082205	32.97928394	21.23156646	36.31441504	34.96753049	63.80185811	32.40841901	57.54788084	82.79328019	88.13383131	66.59994978	69.01977443	133.0985029	144.6657391	43.26234625
ENSMMUG00000001537	2.1138642	APOL2	ENSG00000128335	7.03151877	22.6765533	1.92E-06	0.000228354	694029	23780	"apolipoprotein L, 2 [Source:HGNC Symbol;Acc:HGNC:619]"	54.35600575	145.4074928	24.53355592	114.8813207	49.02030029	46.58744789	132.6719388	57.9089755	76.13156074	73.79417679	65.85157615	50.67678061	93.07580917	102.5165743	75.71249189	54.96037072	42.06498217	57.40022246	68.82049587	52.84452822	129.6513671	113.1602315	261.6404541	578.8937142	348.2741883	236.2887058	353.4305	209.0729507	131.8069845	387.8318317	286.7883518	147.0068103
