GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj
MAN1A2	0.001051522	2.654403737	0.9	0.167	1
BAZ1B	0.002215663	1.785909783	0.7	0.083	1
GLMN	0.002215663	1.556166301	0.7	0.083	1
ITGB7	0.002852537	2.239843171	0.7	0.083	1
ACP1	0.002852537	1.267516753	0.7	0.083	1
ATXN7L3.1	0.002860273	1.03184853	0.6	0	1
OPTN	0.002860273	0.88269521	0.6	0	1
RLF	0.002860273	0.718931721	0.6	0	1
NAA25	0.002860273	0.699048178	0.6	0	1
PBRM1	0.003454886	1.900839509	0.8	0.25	1
BCLAF1	0.004647884	1.692087489	1	0.5	1
SLC38A5	0.0046517	1.149448433	0.7	0.083	1
SRSF11	0.004949342	0.373530161	1	0.667	1
SRSF4	0.005565883	0.978478363	0.8	0.167	1
SNX6	0.006236553	1.259491991	0.8	0.333	1
RBBP4	0.006673948	1.280108739	0.8	0.25	1
THRAP3	0.006884323	1.095292375	0.9	0.417	1
TRAPPC3	0.006930396	1.689806425	0.7	0.167	1
SMC4	0.006930396	1.446103426	0.7	0.167	1
YIPF5	0.006930396	1.144103319	0.7	0.167	1
MYOA	0.007423396	1.360077757	0.7	0.083	1
UBXN4	0.007556441	1.387154367	0.6	0.083	1
C3H7ORF23	0.007556441	0.977689275	0.6	0.083	1
RNF10	0.007556441	0.971903338	0.6	0.083	1
TERF1	0.007556441	0.932338852	0.6	0.083	1
OS9	0.007556441	0.786966946	0.6	0.083	1
SDAD1	0.008075403	1.881129053	0.5	0	1
SMARCAD1	0.008075403	1.362236868	0.5	0	1
NCAPD2	0.008075403	1.358643428	0.5	0	1
ABCE1	0.008075403	1.221509201	0.5	0	1
MGAT4A	0.008075403	1.202315901	0.5	0	1
TRIM11	0.008075403	1.184748677	0.5	0	1
LRRC8C	0.008075403	1.096800579	0.5	0	1
PRIMPOL	0.008075403	1.078599453	0.5	0	1
N4BP2	0.008075403	0.971343286	0.5	0	1
GALNT7	0.008075403	0.827549137	0.5	0	1
NUP155	0.008075403	0.736428578	0.5	0	1
BPHL	0.008075403	0.730507986	0.5	0	1
E2F2	0.008075403	0.600416071	0.5	0	1
STARD3NL	0.008075403	0.596093131	0.5	0	1
RC3H1	0.008075403	0.585385137	0.5	0	1
XPO5	0.008075403	0.464519799	0.5	0	1
PRUNE	0.008075403	0.377429053	0.5	0	1
MTIF2	0.008075403	0.356791344	0.5	0	1
DDX59	0.008075403	0.345275721	0.5	0	1
THOC2	0.00858127	1.131821369	0.8	0.167	1
MIA3	0.00930239	0.730963657	0.7	0.083	1
MTMR14	0.009554953	1.851125496	0.6	0.083	1
RABGAP1L	0.009554953	1.796707586	0.6	0.083	1
AP1S2	0.009554953	1.697352839	0.6	0.083	1
RBPJ	0.009554953	1.153914812	0.6	0.083	1
TTC1	0.009554953	1.022416551	0.6	0.083	1
IFI27L2	0.011038219	0.948010475	1	0.75	1
CSK	0.011594737	0.353843893	0.7	0.083	1
DMXL1	0.012011953	2.086449238	0.6	0.083	1
EHMT2	0.012011953	1.79709919	0.6	0.083	1
DNM1L	0.012373422	1.407892818	0.8	0.25	1
RBM25	0.012678682	1.077832475	0.8	0.417	1
S100A4	0.012891299	0.409357758	1	0.583	1
SUDS3	0.013203281	1.24091034	0.7	0.167	1
FBXL5	0.013203281	1.166779097	0.7	0.167	1
DDX39B	0.01396712	1.799730583	0.8	0.333	1
RORA	0.014354013	2.493181369	0.7	0.25	1
ZFAND6	0.014354013	1.819048581	0.7	0.25	1
FAM133B	0.014456451	0.638464088	1	0.417	1
MRPS18A	0.015013488	1.389523678	0.6	0.083	1
FKBP3	0.015013488	1.219424353	0.6	0.083	1
SNX1	0.015013488	0.891891023	0.6	0.083	1
PDHB	0.015013488	0.868162197	0.6	0.083	1
ACTA1	0.015013488	0.296859933	0.6	0.083	1
YBX1	0.015062238	1.246787054	1	0.5	1
AFTPH	0.015974143	1.34584204	0.6	0.167	1
C6ORF125	0.015974143	1.096329092	0.6	0.167	1
CPSF1	0.016205183	1.551572059	0.7	0.167	1
CDV3	0.0184687	0.771147069	0.8	0.417	1
GOLGA4	0.018566062	1.028851404	1	0.583	1
HECTD1	0.018657014	0.94734509	0.6	0.083	1
IBTK	0.018657014	0.887236059	0.6	0.083	1
BLM	0.018657014	0.711918539	0.6	0.083	1
ZMYND11	0.018657014	0.703186012	0.6	0.083	1
RARS	0.019791142	0.96741426	0.7	0.167	1
HP1BP3	0.019791142	0.526820101	0.7	0.167	1
CCNK	0.019791142	0.450274357	0.7	0.167	1
DMTF1	0.019791142	0.414841797	0.7	0.167	1
SDF4	0.019791142	0.410457679	0.7	0.167	1
MSN	0.020361283	1.255375159	0.8	0.333	1
UBE3A	0.021299108	2.625082621	0.4	0	1
IL2RA	0.021299108	2.049580322	0.4	0	1
TACC3	0.021299108	1.876769588	0.4	0	1
DDX20	0.021299108	1.716164749	0.4	0	1
CPT2	0.021299108	1.574244911	0.4	0	1
ST7L	0.021299108	1.391243627	0.4	0	1
IMP3	0.021299108	1.365562965	0.4	0	1
TFB2M	0.021299108	1.305606884	0.4	0	1
VIMP	0.021299108	1.290283076	0.4	0	1
SYTL1	0.021299108	1.233592306	0.4	0	1
SDCCAG8	0.021299108	1.166966164	0.4	0	1
SCFD1	0.021299108	1.142157676	0.4	0	1
FAM55C	0.021299108	1.133000288	0.4	0	1
LATS1	0.021299108	1.051894742	0.4	0	1
KLHL21	0.021299108	1.030826909	0.4	0	1
MANF	0.021299108	0.940065646	0.4	0	1
TAOK3	0.021299108	0.931910441	0.4	0	1
MAP7D1	0.021299108	0.881653778	0.4	0	1
ORC1	0.021299108	0.865607913	0.4	0	1
RPAP1	0.021299108	0.857798554	0.4	0	1
SFXN1	0.021299108	0.854218339	0.4	0	1
HEATR5A	0.021299108	0.842560159	0.4	0	1
CCPG1	0.021299108	0.826686683	0.4	0	1
UPF3B	0.021299108	0.760865243	0.4	0	1
SLC15A4	0.021299108	0.752606886	0.4	0	1
MIER3	0.021299108	0.75187826	0.4	0	1
TMOD3	0.021299108	0.75100503	0.4	0	1
POP7	0.021299108	0.738600838	0.4	0	1
OSGEP	0.021299108	0.700984857	0.4	0	1
ADPRHL2	0.021299108	0.689551654	0.4	0	1
TSPAN31	0.021299108	0.65292746	0.4	0	1
REEP4	0.021299108	0.646816363	0.4	0	1
TSNAX	0.021299108	0.604703824	0.4	0	1
GLRX5	0.021299108	0.598282713	0.4	0	1
HMGB3	0.021299108	0.591106391	0.4	0	1
CDAN1	0.021299108	0.587903276	0.4	0	1
GNAI3	0.021299108	0.57470821	0.4	0	1
BRD8	0.021299108	0.560990728	0.4	0	1
PTPN4	0.021299108	0.538130687	0.4	0	1
NVL	0.021299108	0.519183374	0.4	0	1
RMDN1	0.021299108	0.509119591	0.4	0	1
WDR37	0.021299108	0.434101928	0.4	0	1
PYGO2	0.021299108	0.427956306	0.4	0	1
FANCI	0.021299108	0.362644761	0.4	0	1
U6.951	0.021299108	0.359865446	0.4	0	1
MORC3	0.021299108	0.346870867	0.4	0	1
CSPP1	0.021299108	0.341300965	0.4	0	1
NUP54	0.021299108	0.328743299	0.4	0	1
ARIH2	0.021299108	0.304941076	0.4	0	1
ELF4	0.021299108	0.304586567	0.4	0	1
