RhesusEnsembl	d4.d0_logFC	GENE_ID	HUMAN_ID	d4.d0_logCPM	d4.d0_LR	d4.d0_PValue	d4.d0_FDR	entrezgene	ENTREZ_ID	description	X912P0	X1007P0	X1005P0	X903P0	X906P0	X806P0	X440P0	X448P0	X465P0	X493P0	d0	X912P1	X1007P1	X1005P1	X465P1	X493P1	X912P2	X1007P2	X465P2	X493P2	X903P3	X906P3	X806P3	X1005P4	X806P4	X440P5	X448P5	X903P6	X906P6	X440P7	X448P7	Rowmeans
ENSMMUG00000016093	1.243944633	ADAR	ENSG00000160710	9.738651747	13.39311781	0.000252549	0.039655781	718759	102724045	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7GLF8]	124.2540087	106.9185523	86.91793416	94.36099303	111.0474667	114.0317078	110.1958314	107.8739828	115.3731056	108.7662208	109.4810261	127.5505847	94.25599649	127.9153418	103.5634013	118.4434738	115.1912015	74.15546147	123.3482548	94.01727796	128.3281142	146.446288	249.8296974	203.7969747	279.1441561	216.6591837	332.2759295	243.1718921	281.04731	413.6647632	223.7073213	159.2084142
ENSMMUG00000001537	2.690267129	APOL2	ENSG00000128335	7.344315998	38.96025246	4.33E-10	2.94E-07	694029	23780	"apolipoprotein L, 2 [Source:HGNC Symbol;Acc:HGNC:619]"	54.35600575	145.4074928	24.53355592	114.8813207	49.02030029	46.58744789	132.6719388	57.9089755	76.13156074	73.79417679	65.85157615	50.67678061	93.07580917	102.5165743	75.71249189	54.96037072	42.06498217	57.40022246	68.82049587	52.84452822	129.6513671	113.1602315	261.6404541	578.8937142	348.2741883	236.2887058	353.4305	209.0729507	131.8069845	387.8318317	286.7883518	147.0068103
ENSMMUG00000001050	2.989765819	APOL6	ENSG00000221963	6.59811333	76.98298276	1.72E-18	2.74E-15	693593	80830	"apolipoprotein L, 6 [Source:HGNC Symbol;Acc:HGNC:14870]"	37.39945609	31.60506945	42.00449404	25.34895326	39.15820444	19.5296034	51.98142562	17.52894522	30.97592327	36.08693855	33.846004	29.68710651	26.22368818	16.44952245	23.9366402	23.83486582	19.79449693	23.25175211	27.83555605	22.06439032	91.47475001	148.8331586	248.4999851	222.2867915	271.6755295	197.626829	405.2909799	223.6956431	236.6393459	598.934849	281.794202	115.7149699
ENSMMUG00000020756	2.939285192	C1QC	ENSG00000159189	4.35254385	17.56395764	2.78E-05	0.005924691	708589	714	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7HEK8]	5.187917403	6.970674355	3.373859095	7.819721875	12.06763152	4.261672516	0	15.01336707	10.35986755	4.115481187	6.079295879	7.008237268	10.65007642	34.5617156	13.72708731	5.795288622	5.521982736	5.300908647	21.85413692	5.998585169	6.732963593	15.3621921	20.46598737	28.62060354	73.03095958	4.312534199	47.45473155	33.18074126	4.390196628	4.405576026	3.544531728	14.03630763
ENSMMUG00000009850	1.28396029	CASP4	ENSG00000196954	6.744602666	13.50898997	0.000237423	0.038118443	704864	837	Caspase  [Source:UniProtKB/TrEMBL;Acc:F7A0F5]	82.60429668	98.5117077	64.05511295	47.52669989	43.47470912	54.83017159	82.39107225	77.89961319	63.70059975	58.18090792	63.87785635	121.2064354	116.9228426	89.72192908	77.24303091	56.58978082	121.4084912	127.4124261	85.69884565	54.53503566	72.52837995	79.83470355	118.6787464	129.0491118	181.1973733	140.8704704	178.8142917	166.9768596	159.5898325	315.9824225	217.5246348	109.4986845
ENSMMUG00000015968	5.430698578	CMPK2	ENSG00000134326	3.932598509	34.83381834	3.59E-09	1.62E-06	708602	129607	"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:27015]"	1.791933238	0.36839227	0	0	0.173675905	0.327111891	0.569280972	0.324105867	1.031596773	1.286126537	0.347752081	1.17832093	1.244498425	0	0.592675782	1.016747869	0.570898837	1.074163782	0.471783176	1.002552598	3.55680016	5.081424507	37.47542668	11.14977653	37.90463466	49.65237989	94.70417547	57.23052309	71.36817666	148.0514795	62.03117013	19.70766107
ENSMMUG00000022960	1.624907195	CX3CR1	ENSG00000168329	7.456654939	16.93397258	3.87E-05	0.007900326	693926	1524	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6U6I0]	107.4261191	197.2187201	84.56160296	37.72256816	81.24884114	95.075652	178.0116493	120.1339419	130.4410471	101.9646073	104.6953632	123.5993604	181.8141258	100.4444422	126.0514631	111.4424234	120.3817602	135.6141842	149.4504259	65.80913733	175.3512038	120.1517466	373.1584576	251.2878027	407.2270863	115.8487912	396.0345115	135.6768777	30.66871413	48.49046823	44.28837582	144.8865369
ENSMMUG00000020903	4.92830413	CXCL10	ENSG00000169245	5.524533495	34.78983528	3.67E-09	1.62E-06	574243	3627	"Macaca mulatta chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA. [Source:RefSeq mRNA;Acc:NM_001032892]"	7.221941847	6.617580365	0.091641883	0	8.399491191	15.02911284	0.458869112	6.531140985	6.548211449	12.44019256	6.582895907	2.601587654	4.425566296	6.987010901	10.27111989	15.67389281	11.54616376	10.15382532	6.084495713	4.525403947	13.23212273	46.2204742	218.4391248	159.6809926	206.2791471	27.57092946	373.5823116	68.57423551	196.510213	184.3577361	135.7294096	58.85946484
ENSMMUG00000013220	1.584171082	CYBB	ENSG00000165168	9.26753467	18.34527834	1.84E-05	0.004179535	696542	1536	Cytochrome b-245 heavy chain; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6X7S5]	107.6309518	109.3518487	60.89020669	121.4777728	97.25279274	172.8665405	91.69604807	104.8703289	137.7257866	155.3706253	108.4914003	189.237989	219.7902567	87.713898	176.4686231	191.4676636	251.3071792	225.6652304	174.6692541	137.9268484	111.7296433	158.8819082	266.7358456	317.8199369	337.2113828	343.1422877	308.8233809	393.7432111	265.525498	280.2781374	327.7481477	197.5006408
ENSMMUG00000012442	2.394761494	DDX58	ENSG00000107201	7.027747631	36.24888087	1.74E-09	9.93E-07	704638	23586	"Macaca mulatta DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 (DDX58), mRNA. [Source:RefSeq mRNA;Acc:NM_001042668]"	17.39957644	23.12844836	40.47306009	29.8214853	29.10744645	37.56374056	10.6010454	23.28673839	11.40605927	22.62645821	23.20759338	24.80453732	18.74434007	21.38077218	8.461469416	24.61379901	25.17655058	28.27679869	9.664005336	17.48695766	37.53264388	51.42523894	139.0104402	111.6609904	135.205669	171.0884775	331.8181767	222.0397881	282.0833014	513.099624	254.0591156	89.10155848
ENSMMUG00000001880	2.838168681	DDX60	ENSG00000137628	7.125393771	59.74712737	1.08E-14	1.24E-11	693567	55601	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:HGNC Symbol;Acc:HGNC:25942]	10.9069407	8.776685825	11.55925608	11.60151057	15.24417951	20.2777272	7.911585136	9.156692335	25.46636674	12.03149539	11.58038333	13.51840125	5.863309053	6.395956324	20.3750309	12.89850906	11.18931562	8.303362889	19.49728474	8.029796205	19.76225296	32.42189665	116.1326839	55.54733739	125.5376683	118.2961732	234.0886959	162.3798088	192.0995167	328.4509632	122.5472227	58.20892084
ENSMMUG00000003634	1.520223671	DDX60L	ENSG00000181381	7.822146122	18.86416599	1.40E-05	0.003234956	693749	91351	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like [Source:HGNC Symbol;Acc:HGNC:26429]	32.0654218	43.48513867	55.94736969	48.41542845	37.04175615	58.69264068	59.46943698	37.18831677	25.35093289	42.23118	42.85815934	30.99605862	39.4052423	37.21502648	22.85921333	39.5535295	31.40054535	33.5784642	22.13235316	36.54263687	47.23867815	42.98787662	134.0993776	80.63472114	160.8645382	198.1104689	313.2624359	249.7985299	177.0393189	477.3824636	226.1853181	94.70581397
ENSMMUG00000014755	2.439845937	DHX58	ENSG00000108771	5.65306745	29.60315104	5.30E-08	1.80E-05	709116	79132	Putative ATP-dependent RNA helicase DHX58; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7G3U0]	21.9748815	22.83391344	20.68623187	11.68943832	13.85544935	5.493938157	9.030057556	9.14802201	11.55064271	11.65309798	11.67126815	15.41630892	17.21317167	6.101516534	11.88969106	6.7594766	19.10418038	18.31423602	14.96705297	11.19425743	28.33700982	29.59685596	84.427975	64.41726076	78.34985094	102.3875786	122.8213858	107.1430894	129.0791691	212.7212732	162.5664589	46.02411574
ENSMMUG00000016383	2.390828151	DTX3L	ENSG00000163840	7.826659961	63.44689935	1.65E-15	2.14E-12	714914	151636	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7G2R1]	60.24799635	47.54817528	35.50800291	39.6565844	75.93849853	49.1352093	72.81154114	47.17737495	48.18381278	50.58727301	48.65951104	71.31595614	54.38210662	95.15982545	42.30907426	47.63201228	67.32596017	58.05523627	60.69230913	47.58825709	86.97558137	145.7085173	250.9720651	274.1841924	238.4489377	178.3742682	366.6850345	270.5030398	279.8839847	353.8002739	166.2532376	122.7681446
ENSMMUG00000008844	1.753631825	DUSP1	ENSG00000120129	7.237980376	17.99806454	2.21E-05	0.004937066	702981	1843	Dual specificity protein phosphatase  [Source:UniProtKB/TrEMBL;Acc:F7ES52]	65.62295798	68.94577273	33.86829973	34.61824786	45.01363688	30.73134698	39.23843806	125.9270169	39.08293799	55.50883394	42.12603747	75.0256449	74.23554389	23.69193515	35.25493465	59.04057387	547.9100974	132.6324737	47.4410443	60.89833297	39.26647211	37.31259588	172.8982067	124.7395231	220.4613048	104.0250201	109.5801615	80.01474766	94.44694543	371.0404395	159.5250576	103.5999515
ENSMMUG00000007176	3.680374884	DYSF	ENSG00000135636	4.793701734	38.08985693	6.76E-10	4.20E-07	NA	8291	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	1.093302043	0.26563146	1.956977908	0.892495225	0.674315683	0.719693678	2.726031226	0.650161165	0.650859172	2.470481698	0.806094452	3.600294442	2.899140687	2.971897245	0.805394973	1.381672152	3.949537427	0.834111656	1.099049844	2.543113086	0.814416161	1.942566005	13.14498902	13.20519682	15.97537511	77.35507753	56.82921274	50.17412256	76.26991555	135.279868	98.23850941	19.04711366
ENSMMUG00000020431	1.638894899	EPS8	ENSG00000151491	5.564785926	16.03552626	6.22E-05	0.012168162	702777	2059	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6TUH1]	10.55537534	10.81131547	8.706168247	5.811122772	6.777621462	10.51739637	7.824476829	12.64808079	6.551352193	8.622596629	8.664382438	14.29673393	24.30993741	16.79606456	7.127773245	6.269890488	14.40687182	9.347232407	9.379249356	5.561042573	6.916620559	6.677163013	19.70971839	30.67505568	21.11473523	19.28182617	24.35372999	14.06453812	5.641469504	3.485851348	12.66675762	12.03025892
ENSMMUG00000014926	3.024483402	EPSTI1	ENSG00000133106	6.938493335	97.79213829	4.65E-23	1.33E-19	700208	94240	epithelial stromal interaction 1 (breast) [Source:HGNC Symbol;Acc:HGNC:16465]	33.03370666	29.60832652	27.69701475	35.34615211	31.10396609	39.64716507	57.32748487	26.48170463	32.89122924	42.85871509	32.96246795	19.83309689	20.12936256	14.94726594	28.76953291	29.88874229	13.51979074	13.95551653	36.98329069	30.34803899	73.25188959	105.146325	296.3404847	224.3723611	321.1194565	386.4992733	667.7118939	312.7182226	268.6708752	695.4816918	422.964293	144.6215623
ENSMMUG00000000662	3.537357672	GBP1	ENSG00000117228	9.527508827	83.60756118	6.03E-20	1.08E-16	694538	2633	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7A8B5]	62.81892069	76.2780506	158.6900629	37.3947731	88.90991398	88.5896052	66.6230023	89.86066763	73.71668489	119.6990186	82.4338279	53.34836203	56.58441753	69.3718497	72.53842704	88.30809239	45.74467056	62.73507472	79.06129883	82.62160284	190.0210886	402.7558914	893.1985251	692.8639398	1218.403382	781.5708236	1247.512658	623.5662213	635.6233465	1940.492568	1096.266987	373.1723309
ENSMMUG00000019251	1.992486821	GBP3	ENSG00000117226	6.93346775	22.30887958	2.32E-06	0.000663383	NA	2635	guanylate binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4184]	16.32407542	22.33507989	15.09825399	12.16790779	20.64469079	41.31369912	58.68248392	37.67336567	18.08238771	27.65932749	21.48988534	17.12762314	17.67574062	17.65319272	19.8142904	27.02823014	18.1704911	16.32334527	19.56973004	22.30346072	20.32660938	44.50322024	90.8915965	83.63787953	116.969692	109.0254846	188.6497182	54.85360165	144.1493805	468.8254326	251.5312862	67.30037591
ENSMMUG00000000663	2.618896558	GBP6	ENSG00000183347	7.542677923	59.66270085	1.13E-14	1.24E-11	694684	163351	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6RNS5]	19.42059191	24.90014673	22.27634918	8.386681366	21.62446704	28.0997509	19.45118485	20.64652466	16.95169878	22.42298924	21.13549585	22.10341665	16.57637523	25.95092243	11.2121625	13.83720945	15.53904763	13.79860008	10.3822965	17.39209611	27.51692896	44.05065221	130.2380939	76.78372797	162.8015887	66.75328993	137.0880858	56.71367481	74.52659594	185.2226095	87.84505933	46.68376061
